contact_id,first_name,last_name,email,account_id,job_title,country,region,industry,lifecycle_stage,lead_score,engagement_score,consent_status
CON-000052,Daniel,Smith,contact52@example.test,ACC-00743,Scrum Master,Singapore,APAC,Financial Services,Known,3,79,Opted In
CON-000053,Paul,Oconnor,contact53@example.test,ACC-00962,Training Manager,United Kingdom,WW,Professional Services,Customer,15,90,Opted In
CON-000054,Tanya,Wilkerson,contact54@example.test,ACC-00877,Training Manager,United Kingdom,WW,Education,Customer,97,82,Opted In
CON-000055,Trevor,Gray,contact55@example.test,ACC-00713,Software Engineer,India,WW,Manufacturing,SQL,84,9,Not Subscribed
CON-000056,Amy,Garcia,contact56@example.test,ACC-00788,Marketing Manager,Kenya,AMEA,Manufacturing,Engaged,99,9,Opted In
CON-000057,Timothy,Shields,contact57@example.test,ACC-00392,Marketing Manager,India,WW,Technology,MQL,33,22,Not Subscribed
CON-000058,Debra,Mcdaniel,contact58@example.test,ACC-00504,Product Owner,Germany,WW,Education,Engaged,82,62,Opted In
CON-000059,Francisco,Jones,contact59@example.test,ACC-00554,Marketing Manager,Australia,APAC,Professional Services,Customer,13,56,Opted In
CON-000060,Megan,Phillips,contact60@example.test,ACC-00036,Director of Technology,United States,WW,Professional Services,Customer,32,99,Not Subscribed
CON-000061,Lucas,Lynn,contact61@example.test,ACC-00919,Operations Manager,United Kingdom,WW,Agriculture,Customer,0,4,Not Subscribed
CON-000062,Charles,Jackson,contact62@example.test,ACC-00156,Project Manager,Saudi Arabia,AMEA,Professional Services,Known,65,90,Not Subscribed
CON-000063,Nicholas,Dennis,contact63@example.test,ACC-00447,Marketing Manager,Germany,Europe,Professional Services,Engaged,0,49,Not Subscribed
CON-000064,Amy,Villanueva,contact64@example.test,ACC-00581,CIO,India,WW,Manufacturing,Customer,38,51,Opted In
CON-000065,Christopher,Wheeler,contact65@example.test,ACC-00375,CIO,India,WW,Technology,SQL,97,98,Opted In
CON-000066,Christina,Webb,contact66@example.test,ACC-00181,CIO,India,APAC,Education,Customer,24,38,Not Subscribed
CON-000067,Anthony,Dunlap,contact67@example.test,ACC-00646,Project Manager,Australia,WW,Technology,Customer,56,94,Opted In
CON-000068,Frederick,Preston,contact68@example.test,ACC-00037,Product Owner,India,APAC,Agriculture,Opportunity,30,62,Not Subscribed
CON-000069,Eric,Garcia,contact69@example.test,ACC-00812,CIO,India,WW,Education,Opportunity,57,2,Opted In
CON-000070,Jamie,Lee,contact70@example.test,ACC-00058,Project Manager,United Arab Emirates,AMEA,Education,Known,27,83,Not Subscribed
CON-000071,Heidi,Bowen,contact71@example.test,ACC-00759,Training Manager,Australia,APAC,Technology,Known,94,18,Not Subscribed
CON-000072,Jessica,Baker,contact72@example.test,ACC-00483,Training Manager,United States,WW,Financial Services,Customer,83,16,Opted In
CON-000073,Juan,Young,contact73@example.test,ACC-00648,IT Manager,Singapore,APAC,Technology,SQL,78,21,Opted In
CON-000074,Brandon,Armstrong,contact74@example.test,ACC-00117,Operations Manager,Germany,WW,Professional Services,Engaged,8,25,Not Subscribed
CON-000075,Mary,Hernandez,contact75@example.test,ACC-00831,Marketing Manager,Kenya,AMEA,Technology,Customer,73,69,Opted In
CON-000076,Michael,Patterson,contact76@example.test,ACC-00857,Product Owner,United Arab Emirates,AMEA,Professional Services,Engaged,42,8,Opted In
CON-000077,Kelly,Stanley,contact77@example.test,ACC-00145,Marketing Manager,South Africa,AMEA,Agriculture,MQL,70,21,Not Subscribed
CON-000078,Caroline,Gonzalez,contact78@example.test,ACC-00948,Training Manager,India,APAC,Financial Services,Known,80,78,Not Subscribed
CON-000079,Anthony,Jackson,contact79@example.test,ACC-00017,Operations Manager,India,APAC,Technology,Known,22,11,Opted In
CON-000080,Kelly,Miller,contact80@example.test,ACC-00711,Operations Manager,France,Europe,Financial Services,Engaged,81,34,Not Subscribed
CON-000081,Megan,Parker,contact81@example.test,ACC-00245,Software Engineer,Italy,Europe,Agriculture,Known,76,23,Not Subscribed
CON-000082,Raymond,Burns,contact82@example.test,ACC-00643,Scrum Master,India,WW,Education,Known,71,30,Opted In
CON-000083,Donna,Davis,contact83@example.test,ACC-00543,Director of Technology,Germany,WW,Manufacturing,Opportunity,64,28,Not Subscribed
CON-000084,Amy,Lopez,contact84@example.test,ACC-00284,IT Manager,Australia,APAC,Technology,Engaged,87,60,Not Subscribed
CON-000085,Nicole,Wood,contact85@example.test,ACC-00164,IT Manager,India,APAC,Agriculture,MQL,36,26,Not Subscribed
CON-000086,Sean,Baker,contact86@example.test,ACC-00343,Training Manager,Saudi Arabia,AMEA,Technology,Known,94,6,Opted In
CON-000087,Steven,Perez,contact87@example.test,ACC-00805,IT Manager,Japan,APAC,Professional Services,Known,9,30,Not Subscribed
CON-000088,Joseph,Brown,contact88@example.test,ACC-00430,Product Owner,Kenya,AMEA,Financial Services,Known,41,29,Opted In
CON-000089,Karen,Contreras,contact89@example.test,ACC-00756,Marketing Manager,Australia,APAC,Education,Engaged,9,60,Not Subscribed
CON-000090,Christopher,Cooper,contact90@example.test,ACC-00912,Marketing Manager,United Kingdom,WW,Financial Services,Opportunity,58,22,Not Subscribed
CON-000091,Amber,Arellano,contact91@example.test,ACC-00140,Operations Manager,South Africa,AMEA,Agriculture,MQL,34,25,Opted In
CON-000092,Brittany,Spencer,contact92@example.test,ACC-00033,Training Manager,India,APAC,Manufacturing,Engaged,14,59,Not Subscribed
CON-000093,Mary,Cardenas,contact93@example.test,ACC-00176,Project Manager,France,Europe,Manufacturing,Opportunity,20,81,Opted In
CON-000094,Robert,Nichols,contact94@example.test,ACC-00089,Marketing Manager,Japan,APAC,Financial Services,Opportunity,60,59,Opted In
CON-000095,Michelle,Wells,contact95@example.test,ACC-00748,Marketing Manager,United Kingdom,WW,Financial Services,MQL,55,74,Opted In
CON-000096,Nicole,Alvarez,contact96@example.test,ACC-00936,Training Manager,India,APAC,Education,Known,5,60,Opted In
CON-000097,Christian,Orr,contact97@example.test,ACC-00544,Marketing Manager,Spain,Europe,Agriculture,Known,57,63,Opted In
CON-000098,Jennifer,Shaw,contact98@example.test,ACC-00572,IT Manager,Australia,WW,Financial Services,Engaged,45,37,Opted In
CON-000099,Rachel,Mcbride,contact99@example.test,ACC-00017,Operations Manager,India,WW,Financial Services,Customer,58,73,Opted In
CON-000100,Erica,Oliver,contact100@example.test,ACC-00475,Software Engineer,Spain,Europe,Financial Services,MQL,80,59,Opted In
CON-000101,David,Todd,contact101@example.test,ACC-00395,Project Manager,Germany,WW,Technology,MQL,54,96,Opted In
CON-000102,Gerald,Joyce,contact102@example.test,ACC-00807,Director of Technology,Singapore,APAC,Agriculture,Known,65,86,Opted In
CON-000103,Teresa,Stokes,contact103@example.test,ACC-00114,Marketing Manager,India,WW,Education,Opportunity,5,46,Opted In
CON-000104,David,Henderson,contact104@example.test,ACC-00664,CIO,India,APAC,Professional Services,Customer,99,26,Opted In
CON-000105,Vanessa,Graham,contact105@example.test,ACC-00245,CIO,United Arab Emirates,AMEA,Agriculture,SQL,94,96,Opted In
CON-000106,Wendy,Burton,contact106@example.test,ACC-00329,Project Manager,Singapore,APAC,Professional Services,Customer,54,35,Opted In
CON-000107,Mary,Scott,contact107@example.test,ACC-00382,Project Manager,Australia,WW,Education,Opportunity,67,15,Not Subscribed
CON-000108,Renee,Sloan,contact108@example.test,ACC-00463,Training Manager,Kenya,AMEA,Agriculture,Customer,8,24,Not Subscribed
CON-000109,Carl,Hughes,contact109@example.test,ACC-00083,Marketing Manager,United Kingdom,WW,Manufacturing,Known,13,21,Opted In
CON-000110,Ray,Nguyen,contact110@example.test,ACC-00714,Software Engineer,Australia,WW,Financial Services,Engaged,66,80,Opted In
CON-000111,Joshua,Ellis,contact111@example.test,ACC-00427,CIO,South Africa,AMEA,Education,MQL,53,56,Opted In
CON-000112,Morgan,Buchanan,contact112@example.test,ACC-00194,Director of Technology,United Arab Emirates,AMEA,Financial Services,Opportunity,82,42,Not Subscribed
CON-000113,Cindy,Mills,contact113@example.test,ACC-00672,Project Manager,Saudi Arabia,AMEA,Professional Services,Customer,89,67,Not Subscribed
CON-000114,Robert,Perry,contact114@example.test,ACC-00312,Training Manager,France,Europe,Manufacturing,Engaged,33,29,Not Subscribed
CON-000115,Eddie,Matthews,contact115@example.test,ACC-00995,Scrum Master,United Arab Emirates,AMEA,Financial Services,MQL,36,58,Opted In
CON-000116,Katherine,Ayers,contact116@example.test,ACC-00729,CIO,Singapore,APAC,Financial Services,Engaged,90,88,Opted In
CON-000117,Sara,Hart,contact117@example.test,ACC-00244,Director of Technology,India,APAC,Manufacturing,Opportunity,16,56,Opted In
CON-000118,Craig,Mitchell,contact118@example.test,ACC-00189,Product Owner,United Arab Emirates,AMEA,Agriculture,MQL,44,18,Opted In
CON-000119,Amanda,Cooper,contact119@example.test,ACC-00553,Software Engineer,Italy,Europe,Manufacturing,Known,3,51,Not Subscribed
CON-000120,Robert,Reyes,contact120@example.test,ACC-00971,Operations Manager,Singapore,APAC,Financial Services,Known,94,69,Opted In
CON-000121,Todd,Lynch,contact121@example.test,ACC-00486,Scrum Master,South Africa,AMEA,Professional Services,Customer,56,43,Opted In
CON-000122,Benjamin,Hill,contact122@example.test,ACC-00922,IT Manager,France,Europe,Agriculture,Opportunity,14,39,Opted In
CON-000123,Douglas,Franklin,contact123@example.test,ACC-00633,Product Owner,Spain,Europe,Manufacturing,Known,41,7,Opted In
CON-000124,Heather,Williams,contact124@example.test,ACC-00801,Scrum Master,Australia,APAC,Technology,Known,68,57,Opted In
CON-000125,Pamela,Rivera,contact125@example.test,ACC-00200,Operations Manager,Netherlands,Europe,Professional Services,Opportunity,65,7,Opted In
CON-000126,John,Reese,contact126@example.test,ACC-00152,Marketing Manager,Netherlands,Europe,Education,MQL,1,36,Opted In
CON-000127,Samantha,Prince,contact127@example.test,ACC-00316,Operations Manager,United Arab Emirates,AMEA,Financial Services,Customer,56,94,Not Subscribed
CON-000128,Andrew,Roth,contact128@example.test,ACC-00296,Software Engineer,Spain,Europe,Agriculture,SQL,17,75,Opted In
CON-000129,Kevin,Ramirez,contact129@example.test,ACC-00213,Scrum Master,Japan,APAC,Professional Services,MQL,8,75,Not Subscribed
CON-000130,Travis,Horton,contact130@example.test,ACC-00007,Marketing Manager,India,WW,Education,Engaged,71,59,Opted In
CON-000131,Corey,Melton,contact131@example.test,ACC-00191,Marketing Manager,Singapore,APAC,Professional Services,SQL,5,38,Opted In
CON-000132,Dennis,Mccann,contact132@example.test,ACC-00573,Operations Manager,France,Europe,Technology,Known,19,33,Opted In
CON-000133,Scott,Petersen,contact133@example.test,ACC-00128,Scrum Master,Spain,Europe,Financial Services,SQL,88,82,Opted In
CON-000134,Joseph,Butler,contact134@example.test,ACC-00123,Scrum Master,Australia,WW,Technology,Opportunity,95,46,Not Subscribed
CON-000135,Debbie,Lopez,contact135@example.test,ACC-00890,Scrum Master,Spain,Europe,Agriculture,Known,47,65,Opted In
CON-000136,Jason,Holloway,contact136@example.test,ACC-00167,Training Manager,United Arab Emirates,AMEA,Financial Services,MQL,59,88,Opted In
CON-000137,Joyce,Malone,contact137@example.test,ACC-00168,IT Manager,Kenya,AMEA,Manufacturing,SQL,81,45,Opted In
CON-000138,Michelle,Nicholson,contact138@example.test,ACC-00299,CIO,United Arab Emirates,AMEA,Professional Services,Engaged,98,80,Opted In
CON-000139,Zachary,Moore,contact139@example.test,ACC-00614,Software Engineer,Germany,WW,Manufacturing,MQL,87,38,Opted In
CON-000140,Larry,Hunter,contact140@example.test,ACC-00099,CIO,Kenya,AMEA,Financial Services,Known,17,66,Opted In
CON-000141,Derek,York,contact141@example.test,ACC-00798,Operations Manager,Saudi Arabia,AMEA,Manufacturing,Engaged,13,27,Opted In
CON-000142,Natasha,Johnson,contact142@example.test,ACC-00852,Product Owner,India,APAC,Education,SQL,9,14,Opted In
CON-000143,James,Whitaker,contact143@example.test,ACC-00492,Project Manager,India,WW,Agriculture,MQL,17,56,Opted In
CON-000144,Mary,Wright,contact144@example.test,ACC-00727,Scrum Master,India,APAC,Agriculture,Known,28,16,Opted In
CON-000145,Stephen,Hull,contact145@example.test,ACC-00315,Software Engineer,Australia,APAC,Financial Services,Known,54,88,Opted In
CON-000146,Janet,Hill,contact146@example.test,ACC-00020,Operations Manager,Australia,WW,Technology,Engaged,13,4,Opted In
CON-000147,Madison,Wagner,contact147@example.test,ACC-00122,Scrum Master,Germany,Europe,Technology,MQL,85,1,Opted In
CON-000148,Cynthia,Martinez,contact148@example.test,ACC-00943,Training Manager,United Kingdom,WW,Professional Services,Engaged,23,85,Opted In
CON-000149,Anthony,Watson,contact149@example.test,ACC-00093,Software Engineer,India,WW,Professional Services,MQL,45,20,Opted In
CON-000150,Brooke,Thompson,contact150@example.test,ACC-00102,Training Manager,United States,WW,Professional Services,Engaged,91,24,Opted In
CON-000151,Monica,Matthews,contact151@example.test,ACC-00924,CIO,India,APAC,Agriculture,Known,27,64,Not Subscribed
CON-000152,Michael,Martin,contact152@example.test,ACC-00715,Training Manager,South Africa,AMEA,Education,Customer,13,23,Opted In
CON-000153,Patricia,Curry,contact153@example.test,ACC-00435,Product Owner,Italy,Europe,Financial Services,SQL,14,97,Opted In
CON-000154,Haley,Mitchell,contact154@example.test,ACC-00478,Director of Technology,Germany,WW,Financial Services,SQL,97,46,Opted In
CON-000155,Paul,Martin,contact155@example.test,ACC-00085,Project Manager,Australia,WW,Technology,SQL,36,58,Opted In
CON-000156,Ashley,Hanna,contact156@example.test,ACC-00232,CIO,Spain,Europe,Manufacturing,SQL,24,8,Not Subscribed
CON-000157,Mercedes,Holland,contact157@example.test,ACC-00184,IT Manager,Saudi Arabia,AMEA,Agriculture,Known,50,56,Opted In
CON-000158,Erica,Adams,contact158@example.test,ACC-00147,Marketing Manager,Australia,WW,Agriculture,Opportunity,13,94,Opted In
CON-000159,Robert,Smith,contact159@example.test,ACC-00373,Product Owner,India,WW,Financial Services,Opportunity,51,15,Opted In
CON-000160,Kimberly,Saunders,contact160@example.test,ACC-00743,Operations Manager,Netherlands,Europe,Agriculture,Opportunity,75,34,Not Subscribed
CON-000161,Alan,Buck,contact161@example.test,ACC-00488,Training Manager,Saudi Arabia,AMEA,Education,Opportunity,35,18,Not Subscribed
CON-000162,Deborah,Burke,contact162@example.test,ACC-00126,Scrum Master,Australia,WW,Education,Engaged,80,17,Opted In
CON-000163,Alan,King,contact163@example.test,ACC-00756,IT Manager,United States,WW,Education,Customer,3,22,Not Subscribed
CON-000164,Linda,Torres,contact164@example.test,ACC-00157,Scrum Master,United Arab Emirates,AMEA,Technology,Customer,96,66,Not Subscribed
CON-000165,Tammy,Day,contact165@example.test,ACC-00207,Scrum Master,Spain,Europe,Education,Opportunity,33,69,Opted In
CON-000166,Rodney,Bennett,contact166@example.test,ACC-00976,IT Manager,Australia,WW,Technology,SQL,57,40,Not Subscribed
CON-000167,Michael,King,contact167@example.test,ACC-00471,IT Manager,Germany,Europe,Financial Services,Opportunity,84,99,Opted In
CON-000168,Steven,Byrd,contact168@example.test,ACC-00504,Marketing Manager,Australia,APAC,Manufacturing,Customer,49,62,Opted In
CON-000169,Madison,Sanders,contact169@example.test,ACC-00676,CIO,Italy,Europe,Professional Services,SQL,60,71,Opted In
CON-000170,Curtis,Hunt,contact170@example.test,ACC-00401,Scrum Master,Australia,WW,Professional Services,SQL,78,86,Opted In
CON-000171,Eileen,Bridges,contact171@example.test,ACC-00329,IT Manager,United Arab Emirates,AMEA,Professional Services,Known,16,46,Opted In
CON-000172,Nicholas,Holland,contact172@example.test,ACC-00784,Project Manager,Australia,WW,Technology,SQL,44,45,Not Subscribed
CON-000173,Chelsea,Evans,contact173@example.test,ACC-00058,Product Owner,South Africa,AMEA,Financial Services,Customer,39,75,Opted In
CON-000174,Daniel,Brown,contact174@example.test,ACC-00890,Scrum Master,United States,WW,Manufacturing,Engaged,2,68,Opted In
CON-000175,Vanessa,Davidson,contact175@example.test,ACC-00472,Marketing Manager,Germany,WW,Professional Services,SQL,34,2,Not Subscribed
CON-000176,Michelle,Green,contact176@example.test,ACC-00325,Marketing Manager,Germany,WW,Education,MQL,73,12,Not Subscribed
CON-000177,Jennifer,Stafford,contact177@example.test,ACC-00708,Product Owner,India,WW,Education,Opportunity,97,85,Opted In
CON-000178,Kent,Hernandez,contact178@example.test,ACC-00630,Scrum Master,Singapore,APAC,Education,Engaged,63,81,Opted In
CON-000179,Kathy,Yoder,contact179@example.test,ACC-00295,Scrum Master,India,APAC,Manufacturing,Opportunity,51,28,Opted In
CON-000180,Linda,Lang,contact180@example.test,ACC-00607,Project Manager,India,WW,Technology,Opportunity,67,60,Not Subscribed
CON-000181,Carol,Guerrero,contact181@example.test,ACC-00356,Director of Technology,Singapore,APAC,Professional Services,MQL,55,84,Opted In
CON-000182,Erin,Griffith,contact182@example.test,ACC-00425,Marketing Manager,Singapore,APAC,Professional Services,Opportunity,58,85,Opted In
CON-000183,Diana,Bright,contact183@example.test,ACC-00643,CIO,United Kingdom,WW,Professional Services,SQL,27,84,Not Subscribed
CON-000184,Jordan,Barnes,contact184@example.test,ACC-00960,CIO,Saudi Arabia,AMEA,Professional Services,Customer,80,7,Opted In
CON-000185,Paul,Johnson,contact185@example.test,ACC-00474,Software Engineer,South Africa,AMEA,Financial Services,Customer,87,97,Opted In
CON-000186,Jean,Armstrong,contact186@example.test,ACC-00421,Project Manager,Germany,Europe,Agriculture,Engaged,52,34,Opted In
CON-000187,James,Barber,contact187@example.test,ACC-00263,Training Manager,Australia,APAC,Education,Engaged,14,19,Opted In
CON-000188,Jeffrey,Nichols,contact188@example.test,ACC-00252,Scrum Master,Australia,WW,Education,Opportunity,55,54,Opted In
CON-000189,Kristen,Knox,contact189@example.test,ACC-00164,Scrum Master,Australia,APAC,Technology,MQL,35,84,Opted In
CON-000190,Emily,Romero,contact190@example.test,ACC-00987,Operations Manager,United States,WW,Technology,Known,40,77,Opted In
CON-000191,Megan,Pittman,contact191@example.test,ACC-00923,Marketing Manager,India,WW,Agriculture,Customer,11,50,Opted In
CON-000192,Nancy,White,contact192@example.test,ACC-00115,Training Manager,India,APAC,Professional Services,Customer,74,99,Opted In
CON-000193,Connor,Anderson,contact193@example.test,ACC-00906,Director of Technology,France,Europe,Professional Services,Known,98,40,Opted In
CON-000194,Jonathan,Stokes,contact194@example.test,ACC-00826,Product Owner,Spain,Europe,Financial Services,Engaged,13,22,Opted In
CON-000195,Kathryn,White,contact195@example.test,ACC-00451,Marketing Manager,Kenya,AMEA,Professional Services,Known,62,68,Opted In
CON-000196,Erin,Rogers,contact196@example.test,ACC-00325,CIO,Australia,WW,Education,Customer,31,35,Opted In
CON-000197,Christopher,Kelly,contact197@example.test,ACC-00487,Project Manager,Kenya,AMEA,Technology,Customer,77,4,Opted In
CON-000198,Julie,Parker,contact198@example.test,ACC-00260,CIO,Japan,APAC,Manufacturing,Customer,89,46,Opted In
CON-000199,Kristin,Rivera,contact199@example.test,ACC-00879,Operations Manager,Japan,APAC,Technology,SQL,32,38,Opted In
CON-000200,Jorge,Carter,contact200@example.test,ACC-00305,Product Owner,Australia,APAC,Education,Customer,40,98,Not Subscribed
CON-000201,Melissa,Ruiz,contact201@example.test,ACC-00281,Director of Technology,Australia,WW,Education,Customer,52,42,Not Subscribed
CON-000202,Michelle,Silva,contact202@example.test,ACC-00845,Software Engineer,India,WW,Professional Services,Known,45,53,Opted In
CON-000203,Sheryl,Jones,contact203@example.test,ACC-00712,IT Manager,Germany,Europe,Agriculture,Customer,23,80,Not Subscribed
CON-000204,Pamela,Mason,contact204@example.test,ACC-00004,Marketing Manager,Australia,APAC,Agriculture,MQL,40,73,Opted In
CON-000205,Mikayla,James,contact205@example.test,ACC-00162,Product Owner,Germany,WW,Agriculture,Customer,97,16,Not Subscribed
CON-000206,Kenneth,Brown,contact206@example.test,ACC-00463,Operations Manager,South Africa,AMEA,Manufacturing,Engaged,87,75,Opted In
CON-000207,Melissa,Taylor,contact207@example.test,ACC-00204,Director of Technology,Saudi Arabia,AMEA,Manufacturing,Engaged,50,48,Opted In
CON-000208,James,Ortiz,contact208@example.test,ACC-00971,IT Manager,Germany,WW,Agriculture,Opportunity,80,29,Opted In
CON-000209,Ashley,Knox,contact209@example.test,ACC-00204,Scrum Master,France,Europe,Technology,SQL,79,54,Opted In
CON-000210,Stephen,Stewart,contact210@example.test,ACC-00092,Project Manager,Australia,APAC,Professional Services,Known,1,91,Not Subscribed
CON-000211,Jennifer,Maxwell,contact211@example.test,ACC-00848,Operations Manager,Germany,Europe,Financial Services,Customer,26,24,Opted In
CON-000212,Tony,Welch,contact212@example.test,ACC-00765,Operations Manager,Saudi Arabia,AMEA,Financial Services,SQL,26,76,Opted In
CON-000213,Gregory,Walters,contact213@example.test,ACC-00745,Product Owner,Saudi Arabia,AMEA,Financial Services,SQL,18,3,Opted In
CON-000214,Adam,Hill,contact214@example.test,ACC-00242,Training Manager,Saudi Arabia,AMEA,Financial Services,MQL,74,87,Not Subscribed
